,Weight
269,20.537
270,20.062
271,20.601
272,20.605
273,20.743
274,20.308
275,20.741
276,20.388
277,20.353
278,20.155
279,20.775
280,20.307
281,20.809
282,20.267
283,20.418
284,20.238
285,20.818
286,20.506
287,20.566
288,20.695
289,20.89
290,20.488
291,20.294
292,20.386
293,20.67
294,20.674
295,20.602
296,20.203
297,20.221
298,20.471
299,20.374
300,20.374
301,20.676
302,20.332
303,20.477
304,20.454
305,20.804
306,20.237
307,20.313
308,20.467
309,20.288
310,20.213
311,20.067
312,20.616
313,20.432
314,20.583
315,20.09
316,20.734
317,20.11
318,20.397
319,20.305
320,20.48
321,20.527
322,20.847
323,20.399
324,20.341
325,20.351
326,20.617
327,20.757
328,20.213
329,20.694
330,20.818
331,20.367
332,20.517
333,20.334
334,20.639
335,20.548
336,20.509
337,20.294
338,20.44
339,20.645
340,20.498
341,20.7
342,20.297
343,20.652
344,20.748
345,20.266
346,20.579
347,20.144
348,20.516
349,20.701
350,20.707
351,20.521
352,20.348
353,20.616
354,20.593
355,20.646
356,20.31
357,20.619
358,20.822
359,20.547
360,20.423
361,20.55
362,20.864
363,20.02
364,20.503
365,20.475
366,20.698
367,20.747
368,20.827
369,20.136
370,20.661
371,20.573
372,20.648
373,20.597
374,20.473
375,20.832
376,20.591
377,20.494
378,20.496
379,20.49
380,20.163
381,20.589
382,20.539
383,20.63
384,20.466
385,20.665
386,20.764
387,20.88
388,20.238
389,20.624
390,20.457
391,20.352
392,20.648
393,20.966
394,20.77
395,20.536
396,20.405
397,20.452
398,20.28
399,20.515
400,20.448
401,20.628
402,20.245
403,20.604
404,20.695
405,20.327
406,20.574
407,20.606
408,20.695
409,20.455
410,20.547
411,20.416
412,20.602
413,20.815
414,20.468
415,20.295
416,20.316
417,20.646
418,20.819
419,20.374
420,20.334
421,20.705
422,20.545
423,20.59
424,21.02
425,20.384
426,20.343
427,20.742
428,20.439
429,20.217
430,20.724
431,20.242
432,20.42
433,20.212
434,20.28
435,20.621
436,20.524
437,20.15
438,20.907
439,20.548
440,20.785
441,20.495
442,20.452
443,20.506
444,20.13
445,20.362
446,20.777
447,20.534
448,20.412
449,20.379
450,20.271
451,20.75
452,20.994
453,20.683
454,20.48
455,20.328
456,20.483
457,20.449
458,20.421
459,20.674
460,20.443
461,20.569
462,20.659
463,20.548
464,20.174
465,20.505
466,20.63
467,20.468
468,20.17
469,20.18
470,20.337
471,20.552
472,20.378
473,20.913
474,20.457
475,20.673
476,20.748
477,20.408
478,20.131
479,20.32
480,20.52
481,20.554
482,20.679
483,20.085
484,20.364
485,20.531
486,20.528
487,20.485
488,20.452
489,20.794
490,20.668
491,20.234
492,20.405
493,20.448
494,20.313
495,20.46
496,20.53
497,20.308
498,20.668
499,20.465
500,20.641
501,20.349
502,20.562
503,20.248
504,20.957
505,20.666
506,20.275
507,20.798
508,20.446
509,20.216
510,20.414
511,20.555
512,20.358
513,20.617
514,20.453
515,20.606
516,20.115
517,20.278
518,20.797
519,20.541
520,20.679
521,20.255
522,20.246
523,20.45
524,20.463
525,20.703
526,20.703
527,20.442
528,20.601
529,20.69
530,20.346
531,20.352
532,20.44
533,20.601
534,20.156
535,20.74
536,20.885
537,20.503
538,20.242
539,20.504
540,20.796
541,20.533
542,20.753
543,20.711
544,20.574
545,20.348
546,20.412
547,20.768
548,20.591
549,20.641
550,20.311
551,20.08
552,20.49
553,20.7
554,20.681
555,20.401
556,20.365
557,20.557
558,20.286
559,20.607
560,20.181
561,20.791
562,20.824
563,20.368
564,20.756
565,20.64
566,20.685
567,20.281
568,20.753
569,20.413
570,20.75
571,20.181
572,20.32
573,21.103
574,20.415
575,20.417
576,20.634
577,20.438
578,20.152
579,20.51
580,20.68
581,20.679
582,20.449
583,20.59
584,20.862
585,20.589
586,20.517
587,20.391
588,20.557
589,20.496
590,20.818
591,21.081
592,20.133
593,20.528
594,20.836
595,20.693
596,20.539
597,20.731
598,20.703
599,20.479
600,20.344
601,20.3
602,20.269
603,19.997
604,20.26
605,20.634
606,20.661
607,20.741
608,20.412
609,20.248
610,20.125
611,20.402
612,20.426
613,20.694
614,20.371
615,20.705
616,20.56
617,20.679
618,20.729
619,20.624
620,20.556
621,20.465
622,20.581
623,20.392
624,20.665
625,20.48
626,20.361
627,20.331
628,20.855
629,20.581
630,20.514
631,20.708
632,20.312
633,20.511
634,20.463
635,20.602
636,20.861
637,20.417
638,20.799
639,20.621
640,20.821
641,20.905
642,20.682
643,20.898
644,20.489
645,20.503
646,20.805
647,20.365
648,20.534
649,20.278
650,20.496
651,20.781
652,20.565
653,20.516
654,20.345
655,20.116
656,20.388
657,20.17
658,20.713
659,20.498
660,20.735
661,20.725
662,20.678
663,20.622
664,20.656
665,20.558
666,20.485
667,20.432
668,20.368
669,20.476
670,20.873
671,20.5
672,20.803
673,20.355
674,20.847
675,20.25
676,20.58
677,20.593
678,20.284
679,21.005
680,20.618
681,20.293
682,20.208
683,20.17
684,20.411
685,20.18
686,20.246
687,20.142
688,20.359
689,20.44
690,20.713
691,20.647
692,20.47
693,20.469
694,20.319
695,20.763
696,20.703
697,20.388
698,20.837
699,20.307
700,20.661
701,20.791
702,20.569
703,20.362
704,20.459
705,20.641
706,20.13
707,20.331
708,20.569
709,20.424
710,20.261
711,20.55
712,20.651
713,20.158
714,20.413
715,20.348
716,20.581
717,20.458
718,20.398
719,20.535
720,20.307
721,20.313
722,20.42
723,20.884
724,20.133
725,20.472
726,20.574
727,20.554
728,20.812
729,20.163
730,20.557
731,20.295
732,20.579
733,20.64
734,20.329
735,20.457
736,20.394
737,20.244
738,20.579
739,20.585
740,20.473
741,20.597
742,20.57
743,20.965
744,20.327
745,20.575
746,20.076
747,20.474
748,20.697
749,20.325
750,20.43
751,20.382
752,20.427
753,20.669
754,20.475
755,20.863
756,20.412
757,20.267
758,20.628
759,20.48
760,20.467
761,20.177
762,20.336
763,20.386
764,20.342
765,20.237
766,20.476
767,20.719
768,20.368
769,20.479
770,20.485
771,20.678
772,20.451
773,21.0
774,20.023
775,20.5
776,20.355
777,20.475
778,20.764
779,20.572
780,20.438
781,20.249
782,20.416
783,20.345
784,20.741
785,20.39
786,20.415
787,20.507
788,20.385
789,20.721
790,20.518
791,20.5
792,20.484
793,20.273
794,20.516
795,20.465
796,20.266
797,20.361
798,20.624
799,20.71
800,20.638
801,20.599
802,20.301
803,20.721
804,20.241
805,20.633
806,20.204
807,20.724
808,20.796
809,20.552
810,20.676
811,20.561
812,20.202
813,20.159
814,20.686
815,20.718
816,20.554
817,20.412
818,20.325
819,20.389
820,20.269
821,20.348
822,20.572
823,20.308
824,20.87
825,20.631
826,20.456
827,20.43
828,20.395
829,20.588
830,20.751
831,20.176
832,20.157
833,20.4
834,20.463
835,20.823
836,20.451
837,20.537
838,20.323
839,20.358
840,20.242
841,20.76
842,20.536
843,20.258
844,20.894
845,20.171
846,20.828
847,20.211
848,20.298
849,20.372
850,20.36
851,20.726
852,20.434
853,20.758
854,20.321
855,20.404
856,20.572
857,20.133
858,20.609
859,20.643
860,20.853
861,20.987
862,20.415
863,20.518
864,20.289
865,20.493
866,20.062
867,20.229
868,20.488
869,20.369
870,20.373
871,20.303
872,20.414
873,20.679
874,20.185
875,20.637
876,20.476
877,20.406
878,20.434
879,20.28
880,20.831
881,20.22
882,20.632
883,20.631
884,20.681
885,20.642
886,20.695
887,20.327
888,20.881
889,20.657
890,20.396
891,20.342
892,20.55
893,20.938
894,20.884
895,20.657
896,20.726
897,20.17
898,20.6
899,20.35
900,20.637
901,20.625
902,20.62
903,20.549
904,20.074
905,20.476
906,20.314
907,20.219
908,20.274
909,20.336
910,20.381
911,20.622
912,20.325
913,20.472
914,20.933
915,20.393
916,20.521
917,20.683
918,20.66
919,20.481
920,20.353
921,20.468
922,20.26
923,20.341
924,20.92
925,20.542
926,20.374
927,20.595
928,20.674
929,20.49
930,20.372
931,20.337
932,20.835
933,20.249
934,20.519
935,20.763
936,20.398
937,20.543
938,20.717
939,20.519
940,20.783
941,20.347
942,20.443
943,20.818
944,20.711
945,20.584
946,20.383
947,20.69
948,20.76
949,20.366
950,20.649
951,20.325
952,20.485
953,20.237
954,20.243
955,20.299
956,20.307
957,20.725
958,20.328
959,20.513
960,20.41
961,20.776
962,20.527
963,20.654
964,20.21
965,20.56
966,20.327
967,20.714
968,20.283
969,20.573
970,20.216
971,20.49
972,20.098
973,20.127
974,20.837
975,20.383
976,20.606
977,20.607
978,20.899
979,20.522
980,20.52
981,20.443
982,20.158
983,20.707
984,20.51
985,20.506
986,20.356
987,20.423
988,20.495
989,20.236
990,20.384
991,20.062
992,20.539
993,20.296
994,20.469
995,20.551
996,20.447
997,20.597
998,20.615
999,20.567
1000,20.36
1001,20.611
1002,20.686
1003,20.304
1004,20.765
1005,20.478
1006,20.64
1007,20.569
1008,20.383
1009,20.324
1010,20.479
1011,20.525
1012,20.437
1013,20.613
1014,20.447
1015,20.406
1016,20.969
1017,20.245
1018,20.518
1019,19.946
1020,20.533
1021,20.579
1022,20.535
1023,20.366
1024,20.498
1025,20.574
1026,20.674
1027,20.354
1028,20.491
1029,20.725
1030,20.585
1031,20.673
1032,20.262
1033,20.513
1034,20.273
1035,20.637
1036,20.415
1037,20.489
1038,20.261
1039,20.406
1040,20.762
1041,20.449
1042,20.279
1043,20.718
1044,20.557
1045,20.728
1046,20.291
1047,20.739
1048,20.382
1049,20.798
1050,20.164
1051,20.355
1052,20.39
1053,20.251
1054,20.573
1055,20.636
1056,20.664
1057,20.498
1058,20.545
1059,20.288
1060,20.314
1061,20.747
1062,20.269
1063,20.435
1064,20.168
1065,20.495
1066,20.172
1067,20.406
1068,20.419
1069,20.351
1070,20.725
1071,20.172
1072,20.598
1073,20.378
1074,20.474
1075,20.452
1076,20.623
1077,20.585
1078,20.297
1079,20.357
1080,20.528
1081,20.621
1082,20.7
1083,20.2
1084,20.705
1085,20.306
1086,20.556
1087,20.465
1088,20.873
1089,20.486
1090,20.63
1091,20.612
1092,20.551
1093,20.566
1094,20.612
1095,20.618
1096,20.245
1097,20.578
1098,20.594
1099,20.698
1100,20.365
1101,19.906
1102,20.448
1103,20.825
1104,20.505
1105,20.446
1106,20.73
1107,19.991
1108,20.499
1109,20.158
1110,20.668
1111,20.487
1112,20.656
1113,20.726
1114,20.113
1115,20.465
1116,20.601
1117,20.606
1118,20.257
1119,20.559
1120,20.393
1121,20.989
1122,20.368
1123,20.344
1124,20.301
1125,20.26
1126,20.54
1127,20.583
1128,20.267
1129,20.618
1130,20.287
1131,20.328
1132,20.581
1133,20.361
1134,20.553
1135,20.52
1136,20.157
1137,20.08
1138,20.777
1139,20.449
1140,20.852
1141,20.267
1142,21.039
1143,20.246
1144,20.601
1145,20.448
1146,20.629
1147,20.304
1148,20.536
1149,20.628
1150,20.408
1151,20.138
1152,20.693
1153,20.279
1154,20.292
1155,20.704
1156,20.522
1157,20.52
1158,20.452
1159,20.446
1160,20.629
1161,20.2
1162,20.546
1163,20.314
1164,20.474
1165,20.529
1166,20.799
1167,20.64
1168,20.624
1169,20.166
1170,20.258
1171,20.349
1172,20.473
1173,20.306
1174,20.327
1175,20.122
1176,20.674
1177,19.951
1178,20.296
1179,19.992
1180,20.501
1181,20.479
1182,20.823
1183,20.688
1184,20.459
1185,20.566
1186,20.488
1187,20.602
1188,20.616
1189,20.364
1190,20.452
1191,20.516
1192,20.431
1193,20.609
1194,20.337
1195,20.49
1196,20.657
1197,20.608
1198,20.423
1199,20.821
1200,20.675
1201,20.157
1202,20.121
1203,20.13
1204,20.531
1205,20.552
1206,20.433
1207,20.537
1208,20.463
1209,20.139
1210,20.483
1211,20.554
1212,20.663
1213,20.331
1214,20.345
1215,20.517
1216,20.591
1217,20.723
1218,20.406
1219,20.642
1220,20.802
1221,20.631
1222,20.406
1223,20.242
1224,20.322
1225,20.407
1226,20.339
1227,20.608
1228,20.256
1229,20.552
1230,20.427
1231,20.705
1232,20.385
1233,20.347
1234,20.374
1235,20.379
1236,20.329
1237,20.035
1238,20.122
1239,20.478
1240,20.567
1241,20.501
1242,20.766
1243,20.511
1244,20.11
1245,20.478
1246,20.765
1247,20.251
1248,19.966
1249,20.749
1250,20.663
1251,20.836
1252,20.617
1253,20.596
1254,20.462
1255,20.509
1256,20.314
1257,20.361
1258,20.703
1259,20.429
1260,20.296
1261,20.406
1262,20.95
1263,20.559
1264,20.825
1265,20.479
1266,20.475
1267,20.399
1268,20.512
1269,20.27
1270,20.344
1271,20.674
1272,20.385
1273,20.196
1274,20.631
1275,20.34
1276,20.202
1277,20.735
1278,20.4
1279,20.755
1280,20.543
1281,20.454
1282,20.155
1283,20.224
1284,20.746
1285,20.74
1286,20.513
1287,20.563
1288,20.23
1289,20.482
1290,20.445
1291,20.72
1292,20.782
1293,20.23
1294,20.672
1295,20.676
1296,20.437
1297,20.383
1298,20.363
1299,20.45
1300,21.034
1301,20.7
1302,20.502
1303,20.304
1304,20.114
1305,20.154
1306,20.376
1307,20.16
1308,20.203
1309,20.382
1310,20.368
1311,20.59
1312,20.442
1313,20.648
1314,20.362
1315,20.727
1316,20.518
1317,20.404
1318,20.85
1319,20.579
1320,20.479
1321,20.566
1322,20.301
1323,20.517
1324,20.604
1325,20.391
1326,20.762
1327,20.447
1328,20.784
1329,20.727
1330,20.421
1331,20.62
1332,20.421
1333,20.337
1334,20.968
1335,20.483
1336,20.388
1337,20.454
1338,20.67
1339,20.391
1340,20.477
1341,20.556
1342,20.246
1343,20.551
1344,20.293
1345,20.987
1346,20.556
1347,20.813
1348,20.127
1349,20.25
1350,20.549
1351,20.366
1352,20.55
1353,20.155
1354,20.495
1355,20.548
1356,20.187
1357,20.486
1358,20.771
1359,20.631
1360,20.618
1361,20.218
1362,20.487
1363,20.429
1364,20.545
1365,20.464
1366,20.402
1367,20.19
1368,20.378
1369,20.665
1370,20.61
1371,20.282
1372,20.808
1373,19.752
1374,20.632
1375,20.366
1376,20.452
1377,20.632
1378,20.438
1379,20.687
1380,20.129
1381,20.518
1382,20.694
1383,20.484
1384,20.555
1385,20.584
1386,20.639
1387,20.318
1388,20.708
1389,20.41
1390,20.934
1391,20.567
1392,20.602
1393,20.449
1394,20.442
1395,20.39
1396,20.087
1397,20.721
1398,20.569
1399,20.607
1400,20.86
1401,20.496
1402,20.435
1403,20.585
1404,20.505
1405,20.617
1406,20.555
1407,20.555
1408,20.479
1409,20.427
1410,20.68
1411,20.852
1412,20.488
1413,20.166
1414,20.552
1415,20.644
1416,20.431
1417,20.251
1418,20.428
1419,20.414
1420,20.337
1421,20.61
1422,20.677
1423,20.36
1424,20.519
1425,20.931
1426,20.721
1427,20.452
1428,20.343
1429,20.143
1430,20.58
1431,20.527
1432,20.281
1433,20.469
1434,20.34
1435,20.722
1436,20.471
1437,20.335
1438,20.573
1439,20.186
1440,20.448
1441,20.674
1442,20.351
1443,20.6
1444,20.54
1445,20.356
1446,20.432
1447,21.171
1448,20.514
1449,20.574
1450,20.627
1451,21.042
1452,20.521
1453,20.566
1454,20.558
1455,20.307
1456,20.623
1457,20.576
1458,20.623
1459,20.502
1460,20.148
1461,20.56
1462,20.55
1463,20.316
1464,20.417
1465,20.357
1466,20.593
1467,20.572
1468,20.388
1469,20.151
1470,20.415
1471,20.446
1472,20.238
1473,20.628
1474,20.826
1475,20.377
1476,20.701
1477,20.71
1478,20.264
1479,20.473
1480,20.52
1481,20.335
1482,20.424
1483,20.098
1484,20.524
1485,20.368
1486,20.284
1487,20.45
1488,20.517
1489,20.712
1490,20.693
1491,20.387
1492,20.564
1493,20.468
1494,20.35
1495,20.526
1496,20.758
1497,20.286
1498,20.369
1499,20.664
1500,20.74
1501,20.882
1502,20.607
1503,20.68
1504,20.333
1505,20.471
1506,20.417
1507,20.706
1508,20.163
1509,20.675
1510,20.44
1511,20.653
1512,20.561
1513,20.435
1514,20.608
1515,20.308
1516,20.333
1517,20.762
1518,20.591
1519,20.423
1520,20.966
1521,20.623
1522,20.172
1523,20.431
1524,20.449
1525,20.491
1526,20.69
1527,20.175
1528,20.807
1529,20.203
1530,20.477
1531,20.142
1532,20.422
1533,20.756
1534,20.393
1535,20.794
1536,20.293
1537,20.727
1538,20.668
1539,20.496
1540,20.366
1541,20.306
1542,20.343
1543,20.218
1544,20.65
1545,20.442
1546,20.408
1547,20.243
1548,20.642
1549,20.192
1550,20.127
1551,20.682
1552,20.785
1553,20.179
1554,20.392
1555,20.368
1556,20.19
1557,20.751
1558,20.35
1559,20.482
1560,20.418
1561,20.542
1562,20.682
1563,20.942
1564,20.213
1565,20.736
1566,20.325
1567,20.632
1568,20.298
1569,20.569
1570,20.636
1571,20.31
1572,20.67
1573,20.29
1574,20.334
1575,20.697
1576,20.656
1577,20.288
1578,20.645
1579,20.442
1580,20.643
1581,20.428
1582,20.527
1583,20.104
1584,20.806
1585,20.372
1586,20.505
1587,20.438
1588,20.547
1589,20.894
1590,20.649
1591,20.911
1592,20.658
1593,20.769
1594,20.787
1595,20.306
1596,20.632
1597,20.274
1598,21.083
1599,20.595
1600,20.341
1601,21.014
1602,20.582
1603,20.641
1604,20.407
1605,20.273
1606,20.483
1607,20.825
1608,20.342
1609,20.332
1610,20.563
1611,20.502
1612,20.12
1613,20.544
1614,20.265
1615,20.544
1616,20.459
1617,20.471
1618,20.587
1619,20.195
1620,20.374
1621,20.316
1622,20.423
1623,20.33
1624,20.622
1625,20.8
1626,20.438
1627,20.009
1628,20.406
1629,20.055
1630,20.717
1631,20.534
1632,20.241
1633,20.727
1634,20.01
1635,20.144
1636,20.614
1637,20.574
1638,20.578
1639,20.611
1640,20.457
1641,20.642
1642,20.51
1643,20.698
1644,20.581
1645,20.602
1646,20.28
1647,20.518
1648,20.517
1649,20.421
1650,20.651
1651,20.523
1652,20.559
1653,20.261
1654,20.437
1655,20.266
1656,20.454
1657,20.323
1658,20.682
1659,20.703
1660,20.145
1661,20.186
1662,20.476
1663,20.565
1664,20.433
1665,20.702
1666,20.406
1667,20.602
1668,20.311
1669,20.44
1670,20.814
1671,20.695
1672,20.508
1673,20.602
1674,20.253
1675,20.592
1676,20.133
1677,20.659
1678,20.52
1679,20.398
1680,20.354
1681,20.439
1682,20.722
1683,20.86
1684,20.49
1685,20.528
1686,20.666
1687,20.302
1688,20.701
1689,20.722
1690,20.773
1691,20.782
1692,20.461
1693,20.824
1694,20.895
1695,20.5
1696,20.431
1697,20.285
1698,20.289
1699,20.409
1700,20.299
1701,20.326
1702,20.169
1703,20.466
1704,20.46
1705,20.51
1706,20.21
1707,20.343
1708,20.682
1709,20.265
1710,20.672
1711,20.624
1712,20.361
1713,20.551
1714,20.04
1715,20.432
1716,20.857
1717,20.46
1718,20.23
1719,20.278
1720,20.692
1721,20.685
1722,20.431
1723,20.441
1724,20.384
1725,20.509
1726,20.307
1727,20.353
1728,20.337
1729,20.579
1730,20.205
1731,20.463
1732,20.461
1733,20.208
1734,20.343
1735,20.102
1736,20.687
1737,20.459
1738,20.276
1739,20.529
1740,20.842
1741,20.258
1742,20.793
1743,20.199
1744,20.218
1745,20.622
1746,20.399
1747,20.61
1748,20.477
1749,20.664
1750,20.372
1751,20.373
1752,20.84
1753,20.529
1754,20.761
1755,20.39
1756,20.602
1757,20.644
1758,20.392
1759,20.376
1760,20.666
1761,20.79
1762,20.609
1763,20.454
1764,21.027
1765,20.319
1766,20.344
1767,20.517
1768,20.331
1769,20.346
1770,20.121
1771,20.609
1772,20.59
1773,20.416
1774,20.472
1775,20.846
1776,20.126
1777,20.28
1778,20.74
1779,20.705
1780,20.564
1781,20.766
1782,20.713
1783,20.313
1784,20.54
1785,20.358
1786,20.391
1787,20.552
1788,20.127
1789,20.696
1790,20.297
1791,20.484
1792,20.68
1793,20.302
1794,20.607
1795,20.542
1796,20.325
1797,20.697
1798,20.428
1799,20.393
1800,20.665
1801,20.46
1802,20.523
1803,20.542
1804,20.49
1805,20.512
1806,20.459
1807,20.484
1808,20.31
1809,20.708
1810,20.763
1811,20.525
1812,20.465
1813,20.301
1814,20.817
1815,20.767
1816,20.702
1817,20.594
1818,20.41
1819,20.321
1820,20.809
1821,20.158
1822,20.215
1823,20.232
1824,20.622
1825,20.343
1826,20.626
1827,20.308
1828,20.55
1829,20.505
1830,20.49
1831,20.171
1832,20.576
1833,20.303
1834,20.495
1835,19.945
1836,20.3
1837,20.527
1838,20.471
1839,20.187
1840,20.426
1841,20.531
1842,20.531
1843,20.493
1844,20.243
1845,20.238
1846,20.271
1847,20.762
1848,20.592
1849,20.428
1850,20.691
1851,20.677
1852,20.421
1853,20.704
1854,20.785
1855,20.672
1856,20.655
1857,20.553
1858,20.505
1859,20.389
1860,20.24
1861,20.686
1862,20.822
1863,20.808
1864,20.538
1865,20.365
1866,20.608
1867,20.602
1868,20.657
1869,20.486
1870,20.574
1871,20.553
1872,20.346
1873,20.554
1874,20.217
1875,20.357
1876,20.293
1877,20.46
1878,20.519
1879,20.042
1880,20.657
1881,20.454
1882,20.583
1883,20.304
1884,20.481
1885,20.721
1886,20.223
1887,20.598
1888,19.815
1889,20.498
1890,20.647
1891,20.908
1892,20.697
1893,20.532
1894,20.582
1895,20.506
1896,20.31
1897,20.286
1898,20.19
1899,20.39
1900,20.607
1901,20.487
1902,20.595
1903,20.439
1904,20.319
1905,20.954
1906,20.61
1907,20.387
1908,20.438
1909,21.153
1910,20.704
1911,20.49
1912,20.578
1913,20.557
1914,20.608
1915,20.689
1916,20.655
1917,20.731
1918,20.491
1919,20.343
1920,20.327
1921,20.615
1922,20.384
1923,20.312
1924,20.371
1925,20.589
1926,20.166
1927,20.623
1928,20.68
1929,20.84
1930,20.481
1931,20.413
1932,20.526
1933,20.773
1934,20.63
1935,20.206
1936,20.47
1937,20.428
1938,20.63
1939,20.108
1940,20.717
1941,20.705
1942,20.362
1943,20.893
1944,20.525
1945,20.457
1946,20.74
1947,20.392
1948,20.21
1949,20.676
1950,20.536
1951,20.383
1952,20.827
1953,20.636
1954,20.707
1955,20.615
1956,20.219
1957,20.359
1958,20.213
1959,20.84
1960,20.586
1961,20.48
1962,20.702
1963,20.373
1964,20.358
1965,20.396
1966,20.524
1967,20.646
1968,20.892
1969,20.122
1970,20.496
1971,20.635
1972,20.843
1973,20.283
1974,20.481
1975,20.531
1976,20.514
1977,20.777
1978,20.291
1979,20.858
1980,20.446
1981,20.639
1982,20.418
1983,20.31
1984,20.571
1985,20.628
1986,20.4
1987,20.429
1988,20.394
1989,20.512
1990,20.356
1991,20.844
1992,20.586
1993,20.227
1994,20.31
1995,20.467
1996,20.858
1997,20.397
1998,20.421
1999,20.863
2000,20.523
2001,20.868
2002,20.401
2003,20.585
2004,20.398
2005,20.334
2006,20.64
2007,20.611
2008,20.458
2009,20.729
2010,20.488
2011,20.284
2012,20.216
2013,20.846
2014,20.398
2015,20.545
2016,20.456
2017,20.486
2018,20.51
2019,20.643
2020,20.329
2021,20.796
2022,20.527
2023,20.771
2024,20.519
2025,20.775
2026,20.471
2027,20.249
2028,20.331
2029,20.631
2030,20.786
2031,20.534
2032,20.602
2033,20.665
2034,20.539
2035,20.734
2036,20.69
2037,20.515
2038,20.786
2039,20.397
2040,20.692
2041,20.604
2042,20.74
2043,20.136
2044,20.629
2045,20.681
2046,20.505
2047,20.571
2048,20.335
2049,20.45
2050,20.439
2051,20.491
2052,20.414
2053,20.106
2054,20.542
2055,20.45
2056,20.654
2057,20.599
2058,20.597
2059,20.47
2060,20.606
2061,20.549
2062,20.546
2063,20.737
2064,20.632
2065,20.664
2066,20.606
2067,20.454
2068,20.622
2069,20.641
2070,20.382
2071,20.564
2072,20.303
2073,20.48
2074,20.457
2075,20.644
2076,20.385
2077,20.744
2078,20.52
2079,20.695
2080,20.622
2081,20.571
2082,20.682
2083,20.958
2084,20.527
2085,20.513
2086,20.456
2087,20.457
2088,20.594
2089,20.673
2090,20.852
2091,20.505
2092,20.506
2093,19.95
2094,20.329
2095,20.564
2096,20.671
2097,20.754
2098,20.274
2099,20.313
2100,20.494
2101,20.6
2102,20.591
2103,20.432
2104,20.544
2105,20.737
2106,20.289
2107,20.425
2108,20.734
2109,20.743
2110,20.5
2111,20.235
2112,20.49
2113,20.821
2114,20.662
2115,20.582
2116,20.917
2117,20.403
2118,20.584
2119,20.421
2120,20.398
2121,20.405
2122,20.428
2123,20.389
2124,20.827
2125,20.365
2126,20.257
2127,20.777
2128,20.639
2129,20.605
2130,20.413
2131,20.009
2132,20.728
2133,20.384
2134,20.5
2135,20.564
2136,20.188
2137,20.421
2138,20.317
2139,20.625
2140,20.989
